tree_index	node_name	label
4	node14	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
5	node14	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
6	node14	{'NMPs', 'Somite', 'NeuralTube'}
9	node14	{'NeuralTube', 'Somite'}
0	node140	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node140	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node140	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
13	node140	{'NeuralTube', 'Somite'}
5	node140	{'NMPs', 'Somite', 'NeuralTube'}
0	node141	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node141	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
2	node141	{'NMPs', 'Somite', 'NeuralTube'}
5	node141	{'NMPs', 'Somite', 'NeuralTube'}
8	node141	{'NeuralTube', 'Somite'}
0	node142	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node142	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
13	node142	{'NMPs', 'Somite', 'NeuralTube'}
5	node142	{'NMPs', 'Somite', 'NeuralTube'}
0	node143	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node143	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
11	node143	{'NMPs', 'Somite', 'NeuralTube'}
1	node144	{'NeuralTube', 'Somite'}
8	node144	{'NMPs', 'Somite', 'NeuralTube'}
1	node145	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
5	node145	{'NMPs', 'Somite', 'NeuralTube'}
0	node146	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node146	{'NeuralTube', 'Somite'}
13	node146	{'NMPs', 'Somite', 'NeuralTube'}
5	node146	{'NMPs', 'Somite', 'NeuralTube'}
0	node147	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node147	{'NeuralTube', 'Somite'}
0	node148	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node148	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
0	node149	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node149	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
5	node149	{'NMPs', 'Somite', 'NeuralTube'}
8	node149	{'NMPs', 'Somite', 'NeuralTube'}
0	node15	{'NeuralTube', 'Somite'}
1	node15	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
10	node15	{'NMPs', 'Somite', 'NeuralTube'}
11	node15	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
12	node15	{'NMPs', 'Somite', 'NeuralTube'}
2	node15	{'NeuralTube', 'Somite'}
3	node15	{'NMPs', 'Somite', 'NeuralTube'}
5	node15	{'NMPs', 'Somite', 'NeuralTube'}
9	node15	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
0	node150	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
5	node150	{'NMPs', 'Somite', 'NeuralTube'}
0	node152	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node152	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node152	{'NMPs', 'Somite', 'NeuralTube'}
8	node152	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
11	node153	{'NMPs', 'Somite', 'NeuralTube'}
13	node153	{'NMPs', 'Somite', 'NeuralTube'}
5	node153	{'NeuralTube', 'Somite'}
0	node154	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
1	node154	{'NeuralTube', 'Somite'}
5	node154	{'NeuralTube', 'Somite'}
8	node154	{'NMPs', 'Somite', 'NeuralTube'}
0	node155	{'NMPs', 'Somite', 'NeuralTube'}
1	node155	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
8	node155	{'NMPs', 'Somite', 'NeuralTube'}
0	node156	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
1	node156	{'NeuralTube', 'Somite'}
5	node156	{'NMPs', 'Somite', 'NeuralTube'}
8	node156	{'NeuralTube', 'Somite'}
0	node157	{'NeuralTube', 'Somite'}
8	node157	{'NMPs', 'Somite', 'NeuralTube'}
0	node158	{'NeuralTube', 'Somite'}
1	node158	{'NeuralTube', 'Somite'}
8	node158	{'NMPs', 'Somite', 'NeuralTube'}
1	node159	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node159	{'NeuralTube', 'Somite'}
5	node159	{'NeuralTube', 'Somite'}
8	node159	{'NMPs', 'Somite', 'NeuralTube'}
0	node16	{'NeuralTube', 'Somite'}
1	node16	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
12	node16	{'NeuralTube', 'Somite'}
2	node16	{'NMPs', 'Somite', 'NeuralTube'}
3	node16	{'NMPs', 'Somite', 'NeuralTube'}
4	node16	{'NMPs', 'Somite', 'NeuralTube'}
5	node16	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
7	node16	{'NMPs', 'Somite', 'NeuralTube'}
8	node16	{'NeuralTube', 'Somite'}
9	node16	{'NeuralTube', 'Somite'}
0	node160	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node160	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node160	{'NMPs', 'Somite', 'NeuralTube'}
5	node160	{'NeuralTube', 'Somite'}
0	node161	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node161	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node161	{'NMPs', 'Somite', 'NeuralTube'}
5	node161	{'NMPs', 'Somite', 'NeuralTube'}
8	node161	{'NMPs', 'Somite', 'NeuralTube'}
1	node162	{'NeuralTube', 'Somite'}
13	node162	{'NeuralTube', 'Somite'}
0	node163	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
5	node163	{'NMPs', 'Somite', 'NeuralTube'}
8	node163	{'NeuralTube', 'Somite'}
1	node164	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
8	node164	{'NMPs', 'Somite', 'NeuralTube'}
